tokens,labels
"['Fears O', 'of O', 'a O', 'terror B-TERRORIST_ATTACK', 'attack I-TERRORIST_ATTACK', 'spread O', 'among O', 'passersby O', 'and O', 'residents O', 'near O', 'the O', 'Akshardham O', 'temple O', 'after O', 'they O', 'heard O', 'gunshots O', 'near O', 'the O', 'temple O', 'compound O', 'on O', 'Thursday O', 'afternoon. O', 'The O', 'temple O', 'is O', 'one O', 'of O', 'the O', 'most O', 'guarded O', 'places O', 'in O', 'Delhi O', 'and O', 'is O', 'vulnerable O', 'to O', 'a O', 'terror B-TERRORIST_ATTACK', 'attack, I-TERRORIST_ATTACK', 'according O', 'to O', 'security O', 'agency O', 'inputs. O']","['O', 'O', 'O', 'B-TERRORIST_ATTACK', 'I-TERRORIST_ATTACK', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TERRORIST_ATTACK', 'I-TERRORIST_ATTACK', 'O', 'O', 'O', 'O', 'O']"
"['The O', 'second O', 'incident B-TRANSPORT_HAZARDS', 'happened O', 'near O', 'Khakhan O', 'village O', 'on O', 'National O', 'Highway O', 'when O', 'an O', 'SUV O', 'hit B-TRANSPORT_HAZARDS', 'a O', 'truck O', 'from O', 'behind O', 'and O', 'stuck O', 'beneath O', 'it. O', 'The O', 'family O', 'in O', 'the O', 'SUV O', 'was O', 'going O', 'from O', 'Delhi O', 'to O', 'Gurdaspur O', 'for O', 'a O', 'cremation. O', 'The O', 'family O', 'members O', 'were O', 'taken O', 'out O', 'of O', 'the O', 'car O', 'with O', 'the O', 'help O', 'of O', 'passers-by O', 'and O', 'were O', 'sent O', 'to O', 'the O', 'government O', 'hospital O', 'Tanda. O', 'Those O', 'travelling O', 'in O', 'the O', 'SUV O', 'were O', 'Vikram O', 'Singh, O', 'his O', 'wife O', 'Gurinder O', 'Kaur, O', 'daughter O', 'Dhruprit O', 'Kaur O', '(18), O', 'Harleen O', 'Kaur O', '(15) O', 'and O', 'son O', 'Jaspreet O', 'Singh O', '(10). O', 'The O', 'condition O', 'of O', 'Harleen O', 'Kaur O', 'and O', 'Jaspreet O', 'Singh O', 'has O', 'been O', 'reported O', 'to O', 'be O', 'critical. O']","['O', 'O', 'B-TRANSPORT_HAZARDS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TRANSPORT_HAZARDS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The O', 'incident B-ACCIDENTS', 'happened O', 'on O', 'Wednesday O', 'night O', 'when O', 'the O', 'victim O', 't', 'O', 'a O', 'right O', 'turn O', 'from O', 'a O', 'signal O', 'and O', 'the O', 'car, O', 'which O', 'was O', 'coming O', 'from O', 'the O', 'opposite O', 'direction, O', 'rammed B-ACCIDENTS', 'into O', 'his O', 'bicycle, O', 'a O', 'senior O', 'police O', 'officer O', 'said. O']","['O', 'B-ACCIDENTS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ACCIDENTS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The O', 'fire B-FIRE', 'was O', 'first O', 'reported O', 'to O', 'the O', 'Thirumangalam O', 'fire O', 'station O', 'at O', '4.15pm. O', 'Sensing O', 'that O', 'it O', 'could O', 'quickly O', 'spread, O', 'an O', 'alert O', 'was O', 'sounded. O', 'Vehicles O', 'from O', 'these O', 'stations O', 'rushed O', 'to O', 'Kappalur O', 'and O', 'the O', 'city O', 'corporation O', 'too O', 'rushed O', 'its O', 'water O', 'tanker O', 'trucks O', 'to O', 'the O', 'spot. O', '""We O', 'received O', 'the O', 'call O', 'at O', '4.15pm O', 'and O', 'reached O', 'the O', 'spot O', 'quickly. O', 'The O', 'water O', 'tankers O', 'provided O', 'by O', 'the O', 'city O', 'corporation O', 'was O', 'of O', 'great O', 'help,"" O', 'said O', 'a O', 'fire O', 'department O', 'official. O']","['O', 'B-FIRE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['“According O', 'to O', 'Sheelu, O', 'she O', 'received O', 'a O', 'call O', 'from O', 'his O', 'father O', 'on O', 'Tuesday O', 'night O', 'informing O', 'her O', 'that O', 'her O', 'mother O', 'had O', 'committed O', 'suicide B-CRIME', 'by O', 'consuming O', 'poison O', 'and O', 'he, O', 'too, O', 'was O', 'going O', 'to O', 'end O', 'his O', 'life. O', 'Sheelu O', 'immediately O', 'informed O', 'her O', 'uncle, O', 'who O', 'lives O', 'in O', 'the O', 'neighborhood, O', 'and O', 'asked O', 'him O', 'to O', 'see O', 'her O', 'father. O', 'She O', 'also O', 'rushed O', 'to O', 'the O', 'village O', 'along O', 'with O', 'her O', 'husband,” O', 'said O', 'police. O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CRIME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['A O', 'suicide B-SUICIDE_ATTACK', 'bomber I-SUICIDE_ATTACK', 'in O', 'Pakistan O', 'killed O', 'at O', 'least O', '70 O', 'people O', 'and O', 'wounded O', 'more O', 'than O', 'a O', 'hundred O', 'today O', 'in O', 'an O', 'attack B-SUICIDE_ATTACK', 'on O', 'mourners O', 'gathered O', 'at O', 'a O', 'hospital O', 'in O', 'Quetta, O', 'according O', 'to O', 'officials O', 'in O', 'the O', 'southwestern O', 'province O', 'of O', 'Baluchistan. O']","['O', 'B-SUICIDE_ATTACK', 'I-SUICIDE_ATTACK', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-SUICIDE_ATTACK', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['No O', 'one O', 'is O', 'in O', 'custody O', 'as O', 'of O', 'Thursday O', 'afternoon, O', 'local O', 'police O', 'said. O', 'Investigators O', 'are O', 'checking O', 'for O', 'video O', 'footage O', 'of O', 'the O', 'shooting. B-SHOOT_OUT']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-SHOOT_OUT']"
"['As O', 'per O', 'information, O', 'around O', '8 O', 'am, O', 'the O', 'youths O', 'were O', 'on O', 'their O', 'way O', 'to O', 'Bilaspur O', 'after O', 'attending O', 'a O', 'marriage O', 'when O', 'the O', 'incident B-VEHICULAR_COLLISION', 'happened. O', 'The O', 'deceased O', 'have O', 'been O', 'identified O', 'as O', 'Lovely O', '(21), O', 'Gurwinder O', '(20) O', 'and O', 'Tarsem O', '(18). O', 'While O', 'Lovely O', 'and O', 'Tarsem O', 'were O', 'resident O', 'of O', 'Bilaspur O', 'in O', 'Yamunanagar, O', 'Gurwinder O', 'was O', 'a O', 'resident O', 'of O', 'Dera O', 'Bassi. O', '— O', 'TNS O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-VEHICULAR_COLLISION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['In O', 'November, O', 'a O', 'gas O', 'leak O', 'caused O', 'an O', 'explosion B-INDUSTRIAL_ACCIDENT', 'at O', 'a O', 'PVC O', 'production O', 'plant O', 'in O', 'a O', 'northern O', 'Chinese O', 'city O', 'that O', 'will O', 'host O', 'the O', '2022 O', 'Winter O', 'Olympics, O', 'killing O', '24 O', 'people O', 'and O', 'injuring O', '21 O', 'others. O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-INDUSTRIAL_ACCIDENT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The O', 'accident B-TRANSPORT_HAZARDS', 't', 'O', 'place O', 'on O', 'Tuesday O', 'night O', 'after O', 'the O', 'car O', 'driver O', 'lost O', 'control O', 'over O', 'the O', 'vehicle. O']","['O', 'B-TRANSPORT_HAZARDS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Three O', 'passengers O', 'were O', 'killed O', 'and O', 'several O', 'injured O', 'as O', 'the O', 'Haryana O', 'Roadways O', 'bus O', 'they O', 'were O', 'travelling O', 'in O', 'overturned B-TRANSPORT_HAZARDS', 'after O', 'hitting O', 'a O', 'divider O', 'near O', 'Jajanwala O', 'village O', 'at O', 'Danoda O', 'area O', 'in O', 'Jind O', 'on O', 'Monday O', 'evening. O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TRANSPORT_HAZARDS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Two O', 'youths O', 'killed O', 'in O', 'car B-VEHICULAR_COLLISION', 'collision I-VEHICULAR_COLLISION']","['O', 'O', 'O', 'O', 'B-VEHICULAR_COLLISION', 'I-VEHICULAR_COLLISION']"
"['Teams O', 'of O', 'the O', 'DGCA O', 'and O', 'the O', 'Aircraft O', 'Accident O', 'Investigation O', 'Bureau O', '(AAIB) O', 'have O', 'rushed O', 'to O', 'the O', 'spot. O', 'The O', 'AAIB O', 'will O', 'probe O', 'the O', 'accident, B-AVIATION_HAZARD', 'a O', 'senior O', 'DGCA O', 'official O', 'said. O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AVIATION_HAZARD', 'O', 'O', 'O', 'O', 'O']"
"['Nine O', 'hand O', 'grenades, O', 'Kalashnikov O', 'bullets, O', 'magazines O', 'and O', 'explosives B-NORMAL_BOMBING', 'were O', 'recovered O', 'from O', 'the O', 'possession O', 'of O', 'the O', 'terrorists, O', 'Geo O', 'news O', 'quoted O', 'police O', 'officials O', 'as O', 'saying. O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NORMAL_BOMBING', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Two O', 'Jain O', 'nuns O', 'killed O', 'in O', 'road B-ACCIDENTS', 'accident I-ACCIDENTS']","['O', 'O', 'O', 'O', 'O', 'B-ACCIDENTS', 'I-ACCIDENTS']"
"['On O', 'Sunday O', 'morning, O', 'Satyavan O', 'Singh O', 'along O', 'with O', '12 O', 'BSF O', 'sportspersons O', 'was O', 'travelling O', 'on O', 'a O', 'mini-bus O', 'to O', 'take O', 'part O', 'in O', 'SBI O', 'green O', 'marathon, O', 'which O', 'was O', 'to O', 'start O', 'from O', 'Chandigarh O', 'Club. O', 'He O', 'met O', 'with O', 'an O', 'accident B-VEHICULAR_COLLISION', 'at O', 'Sector O', '17 O', 'light O', 'point. O', 'Twelve O', 'others O', 'suffered O', 'minor O', 'injuries O', 'and O', 'they O', 'were O', 'discharged O', 'after O', 'preliminary O', 'treatment. O', 'Satyavan O', 'Singh O', 'is O', 'still O', 'admitted O', 'to O', 'the O', 'male O', 'surgical O', 'ward O', 'of O', 'GMSH-16 O', 'and O', 'likely O', 'to O', 'be O', 'discharged O', 'after O', 'five O', 'days. O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-VEHICULAR_COLLISION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The O', 'fire B-FIRE', 'call O', 'was O', 'made O', 'at O', '4.25am O', 'and O', 'fire O', 'brigade O', 'rushed O', 'to O', 'spot. O', 'The O', 'fire O', 'officials O', 'were O', 'controlling O', 'the O', 'fire B-FIRE', 'and O', 'entered O', 'the O', 'building O', 'after O', 'dousing O', 'flames B-FIRE', 'from O', 'ground, O', 'first O', 'and O', 'second O', 'floors. O', 'The O', 'bodiea O', 'were O', 'sent O', 'to O', 'civil O', 'hospital O', 'and O', 'these O', 'were O', 'yet O', 'to O', 'identified. O', 'The O', 'fire B-FIRE', 'had O', 'come O', 'under O', 'control. O']","['O', 'B-FIRE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FIRE', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FIRE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FIRE', 'O', 'O', 'O', 'O']"
"['Around O', '6am, O', 'a O', 'policeman O', 'asked O', 'Madan O', 'to O', 'reach O', 'the O', 'Shastri O', 'Park O', 'police O', 'station. O', '“The O', 'station O', 'house O', 'officer O', 'showed O', 'a O', 'picture O', 'of O', 'my O', 'brother’s O', 'body O', 'on O', 'his O', 'phone. O', 'There O', 'was O', 'a O', 'deep O', 'stab O', 'wound O', 'on O', 'his O', 'chest O', 'and O', 'a O', 'deep O', 'injury O', 'to O', 'his O', 'head O', 'and O', 'face O', 'as O', 'well. O', 'He O', 'told O', 'me O', 'that O', 'my O', 'brother O', 'died O', 'in O', 'an O', 'accident B-ACCIDENTS', 'on O', 'the O', 'bridge,” O', 'said O', 'Madan. O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ACCIDENTS', 'O', 'O', 'O', 'O', 'O']"
"['14 O', 'killed O', 'in O', 'road B-ACCIDENTS', 'accident I-ACCIDENTS', 'in O', 'Kenya O']","['O', 'O', 'O', 'B-ACCIDENTS', 'I-ACCIDENTS', 'O', 'O']"
"['Pudukottai O', 'Superintendent O', 'of O', 'Police O', 'S O', 'Selvaraj O', 'visited O', 'the O', 'accident B-VEHICULAR_COLLISION', 'site O', 'and O', 'supervised O', 'relief O', 'and O', 'rescue O', 'operations. O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-VEHICULAR_COLLISION', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['5 O', 'die O', 'in O', 'multiple O', 'car B-VEHICULAR_COLLISION', 'collision I-VEHICULAR_COLLISION', 'on O', 'highway O', 'near O', 'Pudukottai O']","['O', 'O', 'O', 'O', 'B-VEHICULAR_COLLISION', 'I-VEHICULAR_COLLISION', 'O', 'O', 'O', 'O']"
"['A O', 'short-circuit O', 'occurred O', 'at O', 'the O', 'first O', 'floor O', 'following O', 'which O', 'the O', 'fire B-FIRE', 'engulfed O', 'the O', 'floor O', 'and O', 'a O', 'thick O', 'smoke O', 'started O', 'coming O', 'out O', 'of O', 'it. O', 'The O', 'women, O', 'who O', 'were O', 'on O', 'the O', 'second O', 'floor, O', 'tried O', 'to O', 'come O', 'down O', 'but O', 'could O', 'not O', 'succeed O', 'as O', 'the O', 'fire B-FIRE', 'came O', 'to O', 'the O', 'stairs, O', 'police O', 'said. O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FIRE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FIRE', 'O', 'O', 'O', 'O', 'O', 'O']"
"['As O', 'a O', 'result, O', 'the O', 'driver O', 'lost O', 'control O', 'over O', 'the O', 'vehicle, O', 'which O', 'plunged B-TRANSPORT_HAZARDS', 'into O', 'a O', 'roadside O', 'ditch O', 'filled O', 'with O', 'water, O', 'an O', 'official O', 'at O', 'the O', 'Jambughoda O', 'police O', 'station O', 'said. O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TRANSPORT_HAZARDS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['""Our O', 'police O', 'thought O', 'these O', 'were O', 'among O', 'the O', 'people O', 'that O', 'opened B-SHOOT_OUT', 'fire I-SHOOT_OUT', 'earlier,"" O', 'Villaceran O', 'told O', 'reporters. O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-SHOOT_OUT', 'I-SHOOT_OUT', 'O', 'O', 'O', 'O']"
"['The O', 'accident B-VEHICULAR_COLLISION', 'occurred O', 'when O', 'the O', 'truck, O', 'which O', 'was O', 'allegedly O', 'speeding, O', 'collided B-VEHICULAR_COLLISION', 'with O', 'the O', 'minivan O', 'coming O', 'from O', 'the O', 'opposite O', 'direction, O', 'police O', 'officials O', 'said. O', 'The O', 'minivan O', 'was O', 'thrown O', 'on O', 'one O', 'side O', 'of O', 'the O', 'road O', 'while O', 'the O', 'truck O', 'turned B-VEHICULAR_COLLISION', 'turtle I-VEHICULAR_COLLISION', 'from O', 'the O', 'impact O', 'of O', 'the O', 'crash. B-VEHICULAR_COLLISION']","['O', 'B-VEHICULAR_COLLISION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-VEHICULAR_COLLISION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-VEHICULAR_COLLISION', 'I-VEHICULAR_COLLISION', 'O', 'O', 'O', 'O', 'O', 'B-VEHICULAR_COLLISION']"
